"ID","Naive B cells","Memory B cells","Plasma cells","CD8 T cells","Naive CD4 T cells","Resting CD4 memory T cells","Activated CD4 memory T cells","Follicular helper T cells","Regulatory T cells","Gamma delta T cells","Resting NK cells","Activated NK cells","Monocytes","M0 Macrophages","M1 Macrophages","M2 Macrophages","Resting dendritic cells","Activated dendritic cells","Resting mast cells","Activated mast cells","Eosinophils","Neutrophils"
"SEQC_NB030",0.0196848102308188,0,0.00984187207795752,0.136192687618261,0,0.204823475300978,0,0.0860929068004857,0.0642794774603395,0,0.0225405684478754,0,0.0122951458909186,0.17313518959067,0.0201913122440227,0.173645888104658,0.0772766662330155,0,0,0,0,0
"SEQC_NB031",0.00304137834797216,0.00617464298042301,0.00362938629583478,0.0233976424604457,0,0.44397481888978,0,0.0855403678136386,0.0316561802382814,0,0,0.0225250722324461,0.0916332400091349,0.0566440444896037,0.0263903063761657,0.202652265547466,0,0,0,0,0.00274065431880781,0
"SEQC_NB032",0.102738521320565,0.0883439455487446,0,0.23833678465033,0,0.0912361935399539,0.00331545021907066,0.0339963378453977,0.0800360537182133,0,0.0720989132338294,0,0.024383679273882,0.100884473936496,0.0421401642335928,0.119890899821075,0,0,0,0.00259858265884949,0,0
"SEQC_NB033",0,0,0.046360707042515,0.103106211297669,0,0.131199417942011,0,0.132701535867564,0.025331471082397,0,0,0.0475740072095317,0.0500951768241846,0,0.0239500357533834,0.415206416658928,0,0,0.0244750203218166,0,0,0
"SEQC_NB034",0.00373922180308279,0.0025059574247249,0,0.165173870029802,0.0353713729403974,0.00473357149018355,0,0.092180158751853,0.0668443327952545,0,0.0507654070646137,0.011479375228132,0.08100080032342,0.0120747673012397,0.0554054064457702,0.34627630090411,0,0,0.0358164628548639,0,0.0366329946425532,0
"SEQC_NB035",0.158945204715009,0,0,0.197609790358582,0.0139305309898998,0.0881007512916636,0,0.066122447997116,0.0368297103901291,0,0.0595639660959546,0,0.054599728621023,0.0635805458498571,0.078987007698419,0.181730315992347,0,0,0,0,0,0
"SEQC_NB036",0.0725502491750254,0,0,0,0,0.286359047676101,0,0.0538071193975421,0.0387999644204701,0,0.0844068605095854,0,0.137761101643259,0,0.111115624924753,0.191333420532844,0,0,0,0,0.0238666117204202,0
"SEQC_NB037",0.0145388311744119,0.00456079663148216,0.00168567651978487,0.0503997614109601,0,0.324916305449229,0,0.11073634896013,0.0360102658458844,0,0.0286402040418444,0.0224102872534267,0.0369495673444394,0.238950809859837,0.00835016925502288,0.08702274503081,0.0023888937049168,0,0.0324393375178205,0,0,0
"SEQC_NB038",0.0769753902037231,0,0.00404170434189322,0.174098490166516,0,0.0725550718715588,0,0.0298530343388477,0.0617645053877917,0,0.0272608707833369,0,0.0159154867801702,0.292957065205068,0.0252200073858412,0.209965798624797,0,0,0.009392574910457,0,0,0
"SEQC_NB039",0.11627414845537,0,0,0.123796877941192,0,0.086858083938651,0,0.133593157845748,0.0351469160573596,0,0,0.0042080985822168,0.0355545913362063,0.197570008806047,0.0245993780861924,0.231687754571066,0,0,0,0,0.0107109843799506,0
